supplier_id,supplier_name,contact_email,phone,country
1,"Rodriguez, Figueroa and Sanchez",ogray@hawkins.com,432-867-7360,Mexico
2,Doyle Ltd,lydiatrujillo@adams-clark.org,5646746872,India
3,"Mcclain, Miller and Henderson",jason76@ellis.net,909.480.5009,United States
4,Davis and Sons,julie69@cox-osborn.com,3815219136,South Africa
5,"Guzman, Hoffman and Baldwin",ddavis@hernandez.biz,001-790-691-6998,Canada
6,"Gardner, Robinson and Lawrence",cruzcaitlin@rice-maddox.com,353.246.2475,United Kingdom
7,Blake and Sons,maldonadoamanda@mack-peterson.com,599.711.8384x251,United Kingdom
8,"Henderson, Ramirez and Lewis",amoore@liu.com,327-384-9808x4124,Germany
9,Garcia-James,harrellkenneth@romero.com,001-282-344-9353x4874,South Africa
10,Abbott-Munoz,georgetracy@hickman.com,+1-264-300-5242x7868,India
11,Blair PLC,allenashley@miller.com,428-205-9826,Mexico
12,Dudley Group,davidalvarez@martin.com,450-453-3158x6923,South Africa
13,Arnold Ltd,jenniferross@santos.com,(902)756-3421x60733,Netherlands
14,"Mcclure, Ward and Lee",jeffreymorgan@spencer.com,733-203-6541x4586,Japan
15,Williams and Sons,carlosjohnson@jones-young.info,742-794-0196,India
16,Galloway-Wyatt,ambercummings@johnston.biz,(798)816-9340x60883,Brazil
17,James Group,clintonhopkins@henderson-owens.com,759-851-4846,France
18,"Flowers, Martin and Kelly",brownjessica@wright.net,001-248-623-6629x946,United States
19,"Adams, Zuniga and Wong",ltaylor@ford-baxter.com,336-699-5777x3872,United States
20,"Reid, Ferguson and Sanchez",jmorton@williams.com,395.913.4332x00379,India
